gene_id	tissue	species	n_pipe	pipe
ENSOCUG00000002211	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002215	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002264	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002266	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002318	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002335	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002360	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002363	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002390	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002401	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002426	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002442	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002448	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002478	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002510	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002541	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002728	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002767	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002803	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002839	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002862	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002867	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002868	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002874	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000002932	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003006	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003026	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003062	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003064	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003129	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003134	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003141	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003189	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003252	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003255	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003287	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003324	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003326	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003387	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003413	Brain	Rabbit	1	MaSigPro 
