gene_id	tissue	species	n_pipe	pipe
ENSRNOG00000010753	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000010785	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000010807	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000010895	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000011142	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000011211	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000011471	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000011992	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000012157	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000012404	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000012410	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000012593	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000012879	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000013089	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000013505	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000013631	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000013658	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000013867	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000014107	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000014477	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000014768	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000014863	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000015591	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000016070	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000016327	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000016356	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000016408	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000016470	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000016516	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000016530	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000016635	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000016813	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000016961	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000017036	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000017243	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000017481	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000017579	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000017702	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000017704	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000017820	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000017823	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000017953	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000018299	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000018366	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000018406	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000018426	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000018945	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000019005	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000019219	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000019463	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000019582	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000019584	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000019629	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000020062	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000020298	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000020717	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000020777	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000021153	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000021250	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000021269	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000021579	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000023370	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000023389	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000024111	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000024530	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000024651	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000025181	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000025498	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000025625	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000025730	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000025891	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000025926	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000026109	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000026589	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000026679	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000027245	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000027489	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000027520	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000027615	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000027770	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000028274	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000028456	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000028992	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000029148	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000029698	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000029841	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000031478	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000033389	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000036798	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000036934	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000037352	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000038372	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000039454	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000039457	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000042503	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000043105	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000043451	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000046280	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000046486	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000046607	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000046744	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000046852	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000046996	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000047218	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000048309	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000048862	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000049257	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000049351	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000049642	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000049937	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000050210	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000050445	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000050585	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000050932	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000047667	Cerebellum	Rat	1	In-house 
