gene_id	tissue	species	n_pipe	pipe
ENSMODG00000001801	Brain	Opossum	1	MaSigPro 
ENSMODG00000002007	Brain	Opossum	1	MaSigPro 
ENSMODG00000002073	Brain	Opossum	1	MaSigPro 
ENSMODG00000002100	Brain	Opossum	1	MaSigPro 
ENSMODG00000002137	Brain	Opossum	1	MaSigPro 
ENSMODG00000002180	Brain	Opossum	1	MaSigPro 
ENSMODG00000002182	Brain	Opossum	1	MaSigPro 
ENSMODG00000002236	Brain	Opossum	1	MaSigPro 
ENSMODG00000002250	Brain	Opossum	1	MaSigPro 
ENSMODG00000002299	Brain	Opossum	1	MaSigPro 
ENSMODG00000002369	Brain	Opossum	1	MaSigPro 
ENSMODG00000002376	Brain	Opossum	1	MaSigPro 
ENSMODG00000002416	Brain	Opossum	1	MaSigPro 
ENSMODG00000002553	Brain	Opossum	1	MaSigPro 
ENSMODG00000002589	Brain	Opossum	1	MaSigPro 
ENSMODG00000002710	Brain	Opossum	1	MaSigPro 
ENSMODG00000002748	Brain	Opossum	1	MaSigPro 
ENSMODG00000002782	Brain	Opossum	1	MaSigPro 
ENSMODG00000002830	Brain	Opossum	1	MaSigPro 
ENSMODG00000002901	Brain	Opossum	1	MaSigPro 
ENSMODG00000003212	Brain	Opossum	1	MaSigPro 
ENSMODG00000003215	Brain	Opossum	1	MaSigPro 
ENSMODG00000003233	Brain	Opossum	1	MaSigPro 
ENSMODG00000003302	Brain	Opossum	1	MaSigPro 
ENSMODG00000003438	Brain	Opossum	1	MaSigPro 
ENSMODG00000003529	Brain	Opossum	1	MaSigPro 
ENSMODG00000003559	Brain	Opossum	1	MaSigPro 
ENSMODG00000003704	Brain	Opossum	1	MaSigPro 
ENSMODG00000003753	Brain	Opossum	1	MaSigPro 
ENSMODG00000003756	Brain	Opossum	1	MaSigPro 
ENSMODG00000003781	Brain	Opossum	1	MaSigPro 
ENSMODG00000003857	Brain	Opossum	1	MaSigPro 
ENSMODG00000003875	Brain	Opossum	1	MaSigPro 
ENSMODG00000003929	Brain	Opossum	1	MaSigPro 
ENSMODG00000003991	Brain	Opossum	1	MaSigPro 
ENSMODG00000004033	Brain	Opossum	1	MaSigPro 
ENSMODG00000004063	Brain	Opossum	1	MaSigPro 
ENSMODG00000004103	Brain	Opossum	1	MaSigPro 
ENSMODG00000004267	Brain	Opossum	1	MaSigPro 
ENSMODG00000004464	Brain	Opossum	1	MaSigPro 
ENSMODG00000004544	Brain	Opossum	1	MaSigPro 
ENSMODG00000004636	Brain	Opossum	1	MaSigPro 
ENSMODG00000004710	Brain	Opossum	1	MaSigPro 
ENSMODG00000004718	Brain	Opossum	1	MaSigPro 
ENSMODG00000004720	Brain	Opossum	1	MaSigPro 
ENSMODG00000004753	Brain	Opossum	1	MaSigPro 
ENSMODG00000004760	Brain	Opossum	1	MaSigPro 
ENSMODG00000004845	Brain	Opossum	1	MaSigPro 
ENSMODG00000004883	Brain	Opossum	1	MaSigPro 
ENSMODG00000004997	Brain	Opossum	1	MaSigPro 
ENSMODG00000005029	Brain	Opossum	1	MaSigPro 
ENSMODG00000005115	Brain	Opossum	1	MaSigPro 
ENSMODG00000005121	Brain	Opossum	1	MaSigPro 
ENSMODG00000005290	Brain	Opossum	1	MaSigPro 
ENSMODG00000005343	Brain	Opossum	1	MaSigPro 
ENSMODG00000005435	Brain	Opossum	1	MaSigPro 
ENSMODG00000005464	Brain	Opossum	1	MaSigPro 
ENSMODG00000005475	Brain	Opossum	1	MaSigPro 
ENSMODG00000005605	Brain	Opossum	1	MaSigPro 
ENSMODG00000005606	Brain	Opossum	1	MaSigPro 
ENSMODG00000005699	Brain	Opossum	1	MaSigPro 
ENSMODG00000005706	Brain	Opossum	1	MaSigPro 
ENSMODG00000005835	Brain	Opossum	1	MaSigPro 
ENSMODG00000005964	Brain	Opossum	1	MaSigPro 
ENSMODG00000006020	Brain	Opossum	1	MaSigPro 
ENSMODG00000006064	Brain	Opossum	1	MaSigPro 
ENSMODG00000006126	Brain	Opossum	1	MaSigPro 
ENSMODG00000006132	Brain	Opossum	1	MaSigPro 
ENSMODG00000006256	Brain	Opossum	1	MaSigPro 
ENSMODG00000006291	Brain	Opossum	1	MaSigPro 
ENSMODG00000006454	Brain	Opossum	1	MaSigPro 
ENSMODG00000006606	Brain	Opossum	1	MaSigPro 
ENSMODG00000006613	Brain	Opossum	1	MaSigPro 
ENSMODG00000006686	Brain	Opossum	1	MaSigPro 
ENSMODG00000006825	Brain	Opossum	1	MaSigPro 
ENSMODG00000006953	Brain	Opossum	1	MaSigPro 
ENSMODG00000006955	Brain	Opossum	1	MaSigPro 
ENSMODG00000006958	Brain	Opossum	1	MaSigPro 
ENSMODG00000006995	Brain	Opossum	1	MaSigPro 
ENSMODG00000007025	Brain	Opossum	1	MaSigPro 
ENSMODG00000007151	Brain	Opossum	1	MaSigPro 
ENSMODG00000007167	Brain	Opossum	1	MaSigPro 
ENSMODG00000007224	Brain	Opossum	1	MaSigPro 
ENSMODG00000007311	Brain	Opossum	1	MaSigPro 
ENSMODG00000007313	Brain	Opossum	1	MaSigPro 
ENSMODG00000007342	Brain	Opossum	1	MaSigPro 
ENSMODG00000007542	Brain	Opossum	1	MaSigPro 
ENSMODG00000007569	Brain	Opossum	1	MaSigPro 
ENSMODG00000007652	Brain	Opossum	1	MaSigPro 
ENSMODG00000007727	Brain	Opossum	1	MaSigPro 
ENSMODG00000007733	Brain	Opossum	1	MaSigPro 
ENSMODG00000007746	Brain	Opossum	1	MaSigPro 
ENSMODG00000007799	Brain	Opossum	1	MaSigPro 
ENSMODG00000007820	Brain	Opossum	1	MaSigPro 
ENSMODG00000007944	Brain	Opossum	1	MaSigPro 
ENSMODG00000008034	Brain	Opossum	1	MaSigPro 
ENSMODG00000008158	Brain	Opossum	1	MaSigPro 
ENSMODG00000008161	Brain	Opossum	1	MaSigPro 
ENSMODG00000008163	Brain	Opossum	1	MaSigPro 
ENSMODG00000008171	Brain	Opossum	1	MaSigPro 
ENSMODG00000008193	Brain	Opossum	1	MaSigPro 
ENSMODG00000008224	Brain	Opossum	1	MaSigPro 
ENSMODG00000008231	Brain	Opossum	1	MaSigPro 
ENSMODG00000008244	Brain	Opossum	1	MaSigPro 
ENSMODG00000008276	Brain	Opossum	1	MaSigPro 
ENSMODG00000008402	Brain	Opossum	1	MaSigPro 
ENSMODG00000008413	Brain	Opossum	1	MaSigPro 
ENSMODG00000008445	Brain	Opossum	1	MaSigPro 
ENSMODG00000008516	Brain	Opossum	1	MaSigPro 
ENSMODG00000008529	Brain	Opossum	1	MaSigPro 
ENSMODG00000008541	Brain	Opossum	1	MaSigPro 
ENSMODG00000008626	Brain	Opossum	1	MaSigPro 
ENSMODG00000008695	Brain	Opossum	1	MaSigPro 
ENSMODG00000008816	Brain	Opossum	1	MaSigPro 
ENSMODG00000008874	Brain	Opossum	1	MaSigPro 
ENSMODG00000008880	Brain	Opossum	1	MaSigPro 
ENSMODG00000008900	Brain	Opossum	1	MaSigPro 
ENSMODG00000008903	Brain	Opossum	1	MaSigPro 
ENSMODG00000008908	Brain	Opossum	1	MaSigPro 
ENSMODG00000008980	Brain	Opossum	1	MaSigPro 
ENSMODG00000009003	Brain	Opossum	1	MaSigPro 
ENSMODG00000009081	Brain	Opossum	1	MaSigPro 
