id,files,group,X4,sex,tissue,timePoint
Cerebellum.20.17,5172sTS.Opossum.Cerebellum.6dpb.Male.htseq.u.txt,20,17,Male,Cerebellum,3
Cerebellum.24.18,5588sTS.Opossum.Cerebellum.10dpb.Female.htseq.u.txt,24,18,Female,Cerebellum,4
Cerebellum.24.19,4812sTS.Opossum.Cerebellum.10dpb.Female.htseq.u.txt,24,19,Female,Cerebellum,4
Cerebellum.24.20,4810sTS.Opossum.Cerebellum.10dpb.Male.htseq.u.txt,24,20,Male,Cerebellum,4
Cerebellum.28.21,4699sTS.Opossum.Cerebellum.14dpb.Female.htseq.u.txt,28,21,Female,Cerebellum,5
Cerebellum.28.23,4703sTS.Opossum.Cerebellum.14dpb.Female.htseq.u.txt,28,23,Female,Cerebellum,5
Cerebellum.35.24,4691sTS.Opossum.Cerebellum.21dpb.Female.htseq.u.txt,35,24,Female,Cerebellum,6
Cerebellum.35.25,4695sTS.Opossum.Cerebellum.21dpb.Male.htseq.u.txt,35,25,Male,Cerebellum,6
Cerebellum.42.27,4685sTS.Opossum.Cerebellum.28dpb.Female.htseq.u.txt,42,27,Female,Cerebellum,7
Cerebellum.42.29,4687sTS.Opossum.Cerebellum.28dpb.Male.htseq.u.txt,42,29,Male,Cerebellum,7
Cerebellum.56.30,5886sTS.Opossum.Cerebellum.42dpb.Female.htseq.u.txt,56,30,Female,Cerebellum,8
Cerebellum.56.31,5888sTS.Opossum.Cerebellum.42dpb.Male.htseq.u.txt,56,31,Male,Cerebellum,8
Cerebellum.74.32,5869sTS.Opossum.Cerebellum.60dpb.Female.htseq.u.txt,74,32,Female,Cerebellum,9
Cerebellum.74.33,4648sTS2.Opossum.Cerebellum.60dpb.Male.htseq.u.txt,74,33,Male,Cerebellum,9
Cerebellum.74.34,5874sTS.Opossum.Cerebellum.60dpb.Male.htseq.u.txt,74,34,Male,Cerebellum,9
Cerebellum.104.35,5865sTS.Opossum.Cerebellum.90dpb.Female.htseq.u.txt,104,35,Female,Cerebellum,10
Cerebellum.104.36,4608sTS.Opossum.Cerebellum.90dpb.Female.htseq.u.txt,104,36,Female,Cerebellum,10
Cerebellum.104.37,4621sTS.Opossum.Cerebellum.90dpb.Male.htseq.u.txt,104,37,Male,Cerebellum,10
Cerebellum.134.38,4626sTS.Opossum.Cerebellum.120dpb.Female.htseq.u.txt,134,38,Female,Cerebellum,11
