id,files,group,rep,sex,tissue,timePoint
Liver.e16.4,3899sTS.Rat.Liver.16.Female.htseq.u.txt,e16,4,Female,Liver,-5
Liver.e17.1,2371sTS.Rat.Liver.17.Male.htseq.u.txt,e17,1,Male,Liver,-4
Liver.e17.2,2516sTS.Rat.Liver.17.Male.htseq.u.txt,e17,2,Male,Liver,-4
Liver.e17.3,2517sTS.Rat.Liver.17.Female.htseq.u.txt,e17,3,Female,Liver,-4
Liver.e17.4,2518sTS.Rat.Liver.17.Female.htseq.u.txt,e17,4,Female,Liver,-4
Liver.e18.1,2389sTS.Rat.Liver.18.Female.htseq.u.txt,e18,1,Female,Liver,-3
Liver.e18.2,2390sTS.Rat.Liver.18.Female.htseq.u.txt,e18,2,Female,Liver,-3
Liver.e18.3,2519sTS.Rat.Liver.18.Male.htseq.u.txt,e18,3,Male,Liver,-3
Liver.e18.4,2520sTS.Rat.Liver.18.Male.htseq.u.txt,e18,4,Male,Liver,-3
Liver.e19.1,4035sTS.Rat.Liver.19.Female.htseq.u.txt,e19,1,Female,Liver,-2
Liver.e19.2,4036sTS.Rat.Liver.19.Male.htseq.u.txt,e19,2,Male,Liver,-2
Liver.e19.3,4037sTS.Rat.Liver.19.Female.htseq.u.txt,e19,3,Female,Liver,-2
Liver.e19.4,4038sTS.Rat.Liver.19.Male.htseq.u.txt,e19,4,Male,Liver,-2
Liver.e20.1,2693sTS.Rat.Liver.20.Female.htseq.u.txt,e20,1,Female,Liver,-1
Liver.e20.2,2694sTS.Rat.Liver.20.Male.htseq.u.txt,e20,2,Male,Liver,-1
Liver.e20.3,2701sTS.Rat.Liver.20.Female.htseq.u.txt,e20,3,Female,Liver,-1
Liver.e20.4,2703sTS.Rat.Liver.20.Male.htseq.u.txt,e20,4,Male,Liver,-1
Liver.P0.1,2558sTS.Rat.Liver.0dpb.Male.htseq.u.txt,P0,1,Male,Liver,0
Liver.P0.2,2559sTS.Rat.Liver.0dpb.Male.htseq.u.txt,P0,2,Male,Liver,0
Liver.P0.3,2560sTS.Rat.Liver.0dpb.Female.htseq.u.txt,P0,3,Female,Liver,0
Liver.P0.4,5051sTS.Rat.Liver.0dpb.Female.htseq.u.txt,P0,4,Female,Liver,0
Liver.P3.1,4902sTS.Rat.Liver.3dpb.Female.htseq.u.txt,P3,1,Female,Liver,1
Liver.P3.2,4908sTS.Rat.Liver.3dpb.Male.htseq.u.txt,P3,2,Male,Liver,1
Liver.P3.3,4961sTS.Rat.Liver.3dpb.Male.htseq.u.txt,P3,3,Male,Liver,1
Liver.P3.4,4967sTS.Rat.Liver.3dpb.Female.htseq.u.txt,P3,4,Female,Liver,1
Liver.P7.1,2521sTS.Rat.Liver.1wpb.Female.htseq.u.txt,P7,1,Female,Liver,2
Liver.P7.2,2522sTS.Rat.Liver.1wpb.Female.htseq.u.txt,P7,2,Female,Liver,2
Liver.P7.3,2523sTS.Rat.Liver.1wpb.Male.htseq.u.txt,P7,3,Male,Liver,2
Liver.P7.4,2524sTS.Rat.Liver.1wpb.Male.htseq.u.txt,P7,4,Male,Liver,2
Liver.P14.1,2525sTS.Rat.Liver.2wpb.Female.htseq.u.txt,P14,1,Female,Liver,3
Liver.P14.2,2526sTS.Rat.Liver.2wpb.Female.htseq.u.txt,P14,2,Female,Liver,3
Liver.P14.3,2527sTS.Rat.Liver.2wpb.Male.htseq.u.txt,P14,3,Male,Liver,3
Liver.P14.4,2759sTS.Rat.Liver.2wpb.Male.htseq.u.txt,P14,4,Male,Liver,3
Liver.P42.1,1969sTS.Rat.Liver.6wpb.Male.htseq.u.txt,P42,1,Male,Liver,4
Liver.P42.2,1973sTS.Rat.Liver.6wpb.Male.htseq.u.txt,P42,2,Male,Liver,4
Liver.P42.3,2287sTS.Rat.Liver.6wpb.Female.htseq.u.txt,P42,3,Female,Liver,4
Liver.P42.4,2366sTS.Rat.Liver.6wpb.Female.htseq.u.txt,P42,4,Female,Liver,4
Liver.P112.1,2351sTS.Rat.Liver.16wpb.Female.htseq.u.txt,P112,1,Female,Liver,5
Liver.P112.2,2355sTS.Rat.Liver.16wpb.Female.htseq.u.txt,P112,2,Female,Liver,5
Liver.P112.3,2359sTS.Rat.Liver.16wpb.Male.htseq.u.txt,P112,3,Male,Liver,5
Liver.P112.4,2370sTS.Rat.Liver.16wpb.Male.htseq.u.txt,P112,4,Male,Liver,5
Ovary.e12.1,4200sTS.Rat.Ovary.12.Female.htseq.u.txt,e12,1,Female,Ovary,-9
Ovary.e12.2,4206sTS.Rat.Ovary.12.Female.htseq.u.txt,e12,2,Female,Ovary,-9
Ovary.e13.1,3516sTS.Rat.Ovary.13.Female.htseq.u.txt,e13,1,Female,Ovary,-8
Ovary.e13.2,3529sTS.Rat.Ovary.13.Female.htseq.u.txt,e13,2,Female,Ovary,-8
Ovary.e14.1,3541sTS.Rat.Ovary.14.Female.htseq.u.txt,e14,1,Female,Ovary,-7
Ovary.e14.2,3550sTS.Rat.Ovary.14.Female.htseq.u.txt,e14,2,Female,Ovary,-7
Ovary.e15.1,3591sTS.Rat.Ovary.15.Female.htseq.u.txt,e15,1,Female,Ovary,-6
Ovary.e16.1,2396sTS.Rat.Ovary.16.Female.htseq.u.txt,e16,1,Female,Ovary,-5
Ovary.e16.2,3646sTS.Rat.Ovary.16.Female.htseq.u.txt,e16,2,Female,Ovary,-5
Ovary.e17.1,2602sTS.Rat.Ovary.17.Female.htseq.u.txt,e17,1,Female,Ovary,-4
Ovary.e17.2,2607sTS.Rat.Ovary.17.Female.htseq.u.txt,e17,2,Female,Ovary,-4
Ovary.e18.1,2719sTS.Rat.Ovary.18.Female.htseq.u.txt,e18,1,Female,Ovary,-3
Ovary.e18.2,5352sTS.Rat.Ovary.18.Female.htseq.u.txt,e18,2,Female,Ovary,-3
Ovary.e19.1,2712sTS.Rat.Ovary.19.Female.htseq.u.txt,e19,1,Female,Ovary,-2
Ovary.e19.2,4034sTS.Rat.Ovary.19.Female.htseq.u.txt,e19,2,Female,Ovary,-2
Ovary.e20.1,2679sTS.Rat.Ovary.20.Female.htseq.u.txt,e20,1,Female,Ovary,-1
Ovary.e20.2,2699sTS.Rat.Ovary.20.Female.htseq.u.txt,e20,2,Female,Ovary,-1
Ovary.P0.1,2183sTS.Rat.Ovary.0dpb.Female.htseq.u.txt,P0,1,Female,Ovary,0
Ovary.P0.2,2184sTS.Rat.Ovary.0dpb.Female.htseq.u.txt,P0,2,Female,Ovary,0
Ovary.P3.1,4903sTS.Rat.Ovary.3dpb.Female.htseq.u.txt,P3,1,Female,Ovary,1
Ovary.P3.2,4969sTS.Rat.Ovary.3dpb.Female.htseq.u.txt,P3,2,Female,Ovary,1
Ovary.P7.1,2296sTS.Rat.Ovary.1wpb.Female.htseq.u.txt,P7,1,Female,Ovary,2
Ovary.P7.2,2300sTS.Rat.Ovary.1wpb.Female.htseq.u.txt,P7,2,Female,Ovary,2
Ovary.P14.1,2338sTS.Rat.Ovary.2wpb.Female.htseq.u.txt,P14,1,Female,Ovary,3
Ovary.P14.2,2341sTS.Rat.Ovary.2wpb.Female.htseq.u.txt,P14,2,Female,Ovary,3
Ovary.P42.1,2286sTS.Rat.Ovary.6wpb.Female.htseq.u.txt,P42,1,Female,Ovary,4
Ovary.P42.2,2365sTS.Rat.Ovary.6wpb.Female.htseq.u.txt,P42,2,Female,Ovary,4
Ovary.P112.1,2350sTS.Rat.Ovary.16wpb.Female.htseq.u.txt,P112,1,Female,Ovary,5
Ovary.P112.2,2354sTS.Rat.Ovary.16wpb.Female.htseq.u.txt,P112,2,Female,Ovary,5
Testis.e12.1,4176sTS.Rat.Testis.12.Male.htseq.u.txt,e12,1,Male,Testis,-9
Testis.e12.2,4180sTS.Rat.Testis.12.Male.htseq.u.txt,e12,2,Male,Testis,-9
Testis.e13.1,3523sTS.Rat.Testis.13.Male.htseq.u.txt,e13,1,Male,Testis,-8
Testis.e13.2,3581sTS.Rat.Testis.13.Male.htseq.u.txt,e13,2,Male,Testis,-8
Testis.e14.1,3554sTS.Rat.Testis.14.Male.htseq.u.txt,e14,1,Male,Testis,-7
Testis.e14.2,3558sTS.Rat.Testis.14.Male.htseq.u.txt,e14,2,Male,Testis,-7
Testis.e15.1,2395sTS.Rat.Testis.15.Male.htseq.u.txt,e15,1,Male,Testis,-6
Testis.e15.2,3566sTS.Rat.Testis.15.Male.htseq.u.txt,e15,2,Male,Testis,-6
Testis.e16.1,1816sTS.Rat.Testis.16.Male.htseq.u.txt,e16,1,Male,Testis,-5
Testis.e16.2,3602sTS.Rat.Testis.16.Male.htseq.u.txt,e16,2,Male,Testis,-5
Testis.e17.1,1820sTS.Rat.Testis.17.Male.htseq.u.txt,e17,1,Male,Testis,-4
Testis.e17.2,2597sTS.Rat.Testis.17.Male.htseq.u.txt,e17,2,Male,Testis,-4
Testis.e18.1,1824sTS.Rat.Testis.18.Male.htseq.u.txt,e18,1,Male,Testis,-3
Testis.e18.2,2753sTS.Rat.Testis.18.Male.htseq.u.txt,e18,2,Male,Testis,-3
Testis.e19.1,2426sTS.Rat.Testis.19d.Male.htseq.u.txt,e19,1,Male,Testis,-2
Testis.e19.2,2714sTS.Rat.Testis.19.Male.htseq.u.txt,e19,2,Male,Testis,-2
Testis.e20.1,2680sTS.Rat.Testis.20.Male.htseq.u.txt,e20,1,Male,Testis,-1
Testis.e20.2,2704sTS.Rat.Testis.20.Male.htseq.u.txt,e20,2,Male,Testis,-1
Testis.P0.1,1750sTSm.Rat.Testis.0dpb.Male.htseq.u.txt,P0,1,Male,Testis,0
Testis.P0.2,2291sTS.Rat.Testis.0dpb.Male.htseq.u.txt,P0,2,Male,Testis,0
Testis.P3.1,4909sTS.Rat.Testis.3dpb.Male.htseq.u.txt,P3,1,Male,Testis,1
Testis.P3.2,4963sTS.Rat.Testis.3dpb.Male.htseq.u.txt,P3,2,Male,Testis,1
Testis.P7.1,2304sTS.Rat.Testis.1wpb.Male.htseq.u.txt,P7,1,Male,Testis,2
Testis.P7.2,2362sTS.Rat.Testis.1wpb.Male.htseq.u.txt,P7,2,Male,Testis,2
Testis.P14.1,2344sTS.Rat.Testis.2wpb.Male.htseq.u.txt,P14,1,Male,Testis,3
Testis.P14.2,2347sTS.Rat.Testis.2wpb.Male.htseq.u.txt,P14,2,Male,Testis,3
Testis.P42.1,1970sTS.Rat.Testis.6wpb.Male.htseq.u.txt,P42,1,Male,Testis,4
Testis.P42.2,1974sTSb.Rat.Testis.6wpb.Male.htseq.u.txt,P42,2,Male,Testis,4
Testis.P112.1,2358sTS.Rat.Testis.16wpb.Male.htseq.u.txt,P112,1,Male,Testis,5
Testis.P112.2,2369sTS.Rat.Testis.16wpb.Male.htseq.u.txt,P112,2,Male,Testis,5
